DEF_SUB,ACO_NUM,aco_npi_cnt,saving_npi_pct,aco_epi_cnt,aco_readm_oe,aco_readm_saving,aco_er_oe,aco_er_saving,aco_ins_oe,aco_ins_saving,avg_aco_saving,total_aco_saving,avg_cost_score,avg_quality_score
PPI_IOP_MJRLE_KNEE,A4894,15,0.6666666667,279,1.1179327096,76.219651803,0.7682701901,3.2178920823,0.9559563459,106.06831511,185.505859,51756.13466,3.2508960573,3.5842293907
PPI_IOP_MJRLE_KNEE,A4895,2,0.5,29,0.2939253563,0,0.2738748603,0,0.8974645557,14.726188822,14.726188822,427.05947583,5,4.1034482759
PPI_IOP_MJRLE_KNEE,A4901,4,1,138,0.4026232727,28.458304733,1.0559852269,8.4863041126,1.3179605214,391.26614238,428.21075121,59093.083667,2.1666666667,3.5434782609
PPI_IOP_MJRLE_KNEE,A4911,4,0.5,74,1.0292116038,61.612491701,0.5198549145,0,0.8257334165,145.96378131,207.57627304,15360.644205,2.3513513514,3.2027027027
PPI_IOP_MJRLE_KNEE,A4922,12,0.5833333333,270,0.6558649688,12.449650442,0.6463348028,0,1.1899675309,352.87291962,365.32257,98637.093901,3.4814814815,2.3148148148
PPI_IOP_MJRLE_KNEE,A4923,3,0.6666666667,59,0.7368932765,170.51020483,0.9215065034,10.142568482,0.5879619268,0,180.65277332,10658.513626,3.2372881356,2
PPI_IOP_MJRLE_KNEE,A4924,3,1,116,0.9147211446,32.73884318,1.5505448699,36.117849748,1.3505980688,229.02901701,297.88570994,34554.742353,4.5,3.3103448276
PPI_IOP_MJRLE_KNEE,A4928,9,1,166,1.802001339,431.36643499,1.0926600972,12.504404001,1.8594498527,998.59585986,1442.4666989,239449.47201,2.734939759,2.3012048193
PPI_IOP_MJRLE_KNEE,A4931,4,0.75,73,0.7866416521,53.906423288,1.35357451,17.162906634,0.8387647963,45.426606534,116.49593646,8504.2033614,2.5205479452,3.6301369863
PPI_IOP_MJRLE_KNEE,A4932,5,0.8,118,1.5331435021,192.43598523,0.8009845945,5.6758820267,0.8615542502,174.58766307,372.69953031,43978.544577,2.4830508475,2.8728813559
PPI_IOP_MJRLE_KNEE,A4937,4,1,87,0.8888899693,25.125758243,0.8499318772,3.0978194746,2.485705613,812.22641116,840.44998889,73119.149033,3.1379310345,3.9540229885
PPI_IOP_MJRLE_KNEE,A4938,7,0.5714285714,129,0.664849398,22.206133254,0.8009548153,2.1892554886,0.4783572818,0,24.395388742,3147.0051477,3.7751937984,3.7286821705
