ATTR_NPI,DEF_SUB,ACO_NUM,aco_epi_cnt
1013261908,PPI_IOP_MJRLE_HIP,A4824,14
1013264787,PPI_IOP_MJRLE_HIP,,12
1013264787,PPI_IOP_MJRLE_HIP,A4626,33
1013264787,PPI_IOP_MJRLE_KNEE,A4626,27
1013270644,PPI_IOP_MJRLE_HIP,A3224,13
1013279082,PPI_IOP_MJRLE_HIP,,20
1013279082,PPI_IOP_MJRLE_HIP,A4825,35
1013279082,PPI_IOP_MJRLE_KNEE,,19
1013279082,PPI_IOP_MJRLE_KNEE,A2620,16
1013279082,PPI_IOP_MJRLE_KNEE,A4825,31
1013327642,PPI_IOP_MJRLE_HIP,,15
1013327642,PPI_IOP_MJRLE_HIP,A4803,16
1013327642,PPI_IOP_MJRLE_KNEE,A4803,12
1013329390,PPI_IOP_MJRLE_HIP,,17
1013329390,PPI_IOP_MJRLE_KNEE,,17
1013336577,PPI_IOP_MJRLE_HIP,,15
1013350032,PPI_IOP_MJRLE_KNEE,,11
1013350032,PPI_IOP_MJRLE_KNEE,A1297,14
1013900307,PPI_IOP_MJRLE_HIP,,96
1013900307,PPI_IOP_MJRLE_HIP,A3825,26
1013900307,PPI_IOP_MJRLE_KNEE,,193
1013900307,PPI_IOP_MJRLE_KNEE,A3717,12
1013900307,PPI_IOP_MJRLE_KNEE,A3825,33
1013904416,PPI_IOP_MJRLE_HIP,,52
1013904416,PPI_IOP_MJRLE_HIP,A2735,39
1013904416,PPI_IOP_MJRLE_HIP,A3560,40
1013904416,PPI_IOP_MJRLE_KNEE,,15
1013904416,PPI_IOP_MJRLE_KNEE,A2735,18
1013904689,PPI_IOP_MJRLE_HIP,,40
1013904689,PPI_IOP_MJRLE_HIP,A4771,11
1013904689,PPI_IOP_MJRLE_KNEE,,48
1013910819,PPI_IOP_MJRLE_HIP,,18
1013910819,PPI_IOP_MJRLE_KNEE,,15
1013911619,PPI_IOP_MJRLE_KNEE,,18
1013913573,PPI_IOP_MJRLE_HIP,,22
1013913573,PPI_IOP_MJRLE_KNEE,,35
1013913573,PPI_IOP_MJRLE_KNEE,A1501,11
1013914399,PPI_IOP_MJRLE_HIP,,26
1013914399,PPI_IOP_MJRLE_KNEE,,54
1013914399,PPI_IOP_MJRLE_KNEE,A4649,22
1013915032,PPI_IOP_MJRLE_HIP,,17
1013915032,PPI_IOP_MJRLE_KNEE,,18
1013915461,PPI_IOP_MJRLE_HIP,,17
1013915461,PPI_IOP_MJRLE_KNEE,,31
1013915487,PPI_IOP_MJRLE_HIP,,12
1013915487,PPI_IOP_MJRLE_KNEE,,13
1013915503,PPI_IOP_MJRLE_HIP,,18
1013915503,PPI_IOP_MJRLE_KNEE,,84
1013915503,PPI_IOP_MJRLE_KNEE,A1242,21
1013917061,PPI_IOP_MJRLE_HIP,,91
1013917061,PPI_IOP_MJRLE_HIP,A4604,71
1013917061,PPI_IOP_MJRLE_KNEE,,133
1013917061,PPI_IOP_MJRLE_KNEE,A4604,116
1013918788,PPI_IOP_MJRLE_HIP,,99
1013918788,PPI_IOP_MJRLE_KNEE,,225
1013918788,PPI_IOP_MJRLE_KNEE,A2202,22
1013919919,PPI_IOP_MJRLE_KNEE,,76
1013928456,PPI_IOP_MJRLE_KNEE,,12
1013930312,PPI_IOP_MJRLE_HIP,,20
1013936756,PPI_IOP_MJRLE_KNEE,,24
1013939693,PPI_IOP_MJRLE_KNEE,,237
1013939693,PPI_IOP_MJRLE_KNEE,A3580,21
1013939693,PPI_IOP_MJRLE_KNEE,A4968,13
1013944859,PPI_IOP_MJRLE_HIP,,133
1013944859,PPI_IOP_MJRLE_HIP,A2024,32
1013944859,PPI_IOP_MJRLE_HIP,A4806,17
1013944859,PPI_IOP_MJRLE_KNEE,,173
1013944859,PPI_IOP_MJRLE_KNEE,A2024,40
1013944859,PPI_IOP_MJRLE_KNEE,A4806,21
1013948058,PPI_IOP_MJRLE_HIP,A1215,11
1013948488,PPI_IOP_MJRLE_HIP,,23
1013948488,PPI_IOP_MJRLE_KNEE,,49
1013949049,PPI_IOP_MJRLE_HIP,,22
1013949619,PPI_IOP_MJRLE_KNEE,,12
1013949619,PPI_IOP_MJRLE_KNEE,A1535,16
1013950120,PPI_IOP_MJRLE_HIP,,54
1013950120,PPI_IOP_MJRLE_HIP,A3250,11
1013950120,PPI_IOP_MJRLE_HIP,A4582,11
1013950120,PPI_IOP_MJRLE_KNEE,,76
1013950120,PPI_IOP_MJRLE_KNEE,A3236,21
1013950120,PPI_IOP_MJRLE_KNEE,A4582,17
1013951110,PPI_IOP_MJRLE_HIP,,19
1013951110,PPI_IOP_MJRLE_KNEE,,15
1013951805,PPI_IOP_MJRLE_HIP,,23
1013951805,PPI_IOP_MJRLE_HIP,A3631,13
1013951805,PPI_IOP_MJRLE_KNEE,,49
1013951805,PPI_IOP_MJRLE_KNEE,A3631,37
1013953728,PPI_IOP_MJRLE_HIP,,86
1013953728,PPI_IOP_MJRLE_KNEE,,178
1013953900,PPI_IOP_MJRLE_KNEE,,23
1013956457,PPI_IOP_MJRLE_HIP,,27
1013956457,PPI_IOP_MJRLE_KNEE,,32
1013960921,PPI_IOP_MJRLE_HIP,,14
1013960921,PPI_IOP_MJRLE_KNEE,,14
1013963446,PPI_IOP_MJRLE_HIP,,11
1013963446,PPI_IOP_MJRLE_HIP,A3504,13
1013963446,PPI_IOP_MJRLE_KNEE,,17
1013963446,PPI_IOP_MJRLE_KNEE,A3504,38
1013968288,PPI_IOP_MJRLE_HIP,,28
1013968288,PPI_IOP_MJRLE_HIP,A2600,15
1013968742,PPI_IOP_MJRLE_HIP,,15
1013968742,PPI_IOP_MJRLE_KNEE,,47
1013977180,PPI_IOP_MJRLE_HIP,,15
1013977180,PPI_IOP_MJRLE_HIP,A3723,27
1013977180,PPI_IOP_MJRLE_KNEE,,16
1013977180,PPI_IOP_MJRLE_KNEE,A3723,17
1013980713,PPI_IOP_MJRLE_HIP,,35
1013980713,PPI_IOP_MJRLE_HIP,A1638,17
1013980713,PPI_IOP_MJRLE_HIP,A3719,16
1013980713,PPI_IOP_MJRLE_KNEE,,37
1013980713,PPI_IOP_MJRLE_KNEE,A1638,19
1013980713,PPI_IOP_MJRLE_KNEE,A3719,12
1013983907,PPI_IOP_MJRLE_HIP,,18
1013983907,PPI_IOP_MJRLE_KNEE,,14
1013983907,PPI_IOP_MJRLE_KNEE,A4641,13
1013984699,PPI_IOP_MJRLE_HIP,,109
1013984699,PPI_IOP_MJRLE_HIP,A4842,11
1013984699,PPI_IOP_MJRLE_KNEE,,305
1013984699,PPI_IOP_MJRLE_KNEE,A2916,33
1013984699,PPI_IOP_MJRLE_KNEE,A4842,37
1013988161,PPI_IOP_MJRLE_KNEE,,65
1013990811,PPI_IOP_MJRLE_KNEE,,228
1013992171,PPI_IOP_MJRLE_HIP,,13
1013992197,PPI_IOP_MJRLE_HIP,,21
1013992940,PPI_IOP_MJRLE_HIP,,23
1013992940,PPI_IOP_MJRLE_KNEE,,57
1013993583,PPI_IOP_MJRLE_HIP,,14
1013993583,PPI_IOP_MJRLE_KNEE,,45
1013993583,PPI_IOP_MJRLE_KNEE,A2841,11
1013993955,PPI_IOP_MJRLE_HIP,,32
1013993955,PPI_IOP_MJRLE_HIP,A2506,46
1013994896,PPI_IOP_MJRLE_KNEE,,18
1013995711,PPI_IOP_MJRLE_HIP,,86
1013995711,PPI_IOP_MJRLE_HIP,A4931,28
1013995711,PPI_IOP_MJRLE_KNEE,,70
1013995711,PPI_IOP_MJRLE_KNEE,A4931,20
1013999713,PPI_IOP_MJRLE_HIP,A4588,14
1013999713,PPI_IOP_MJRLE_KNEE,,19
1013999713,PPI_IOP_MJRLE_KNEE,A4588,25
1023004082,PPI_IOP_MJRLE_KNEE,,11
1023008422,PPI_IOP_MJRLE_HIP,,31
1023008422,PPI_IOP_MJRLE_KNEE,,55
1023008471,PPI_IOP_MJRLE_HIP,,11
1023008471,PPI_IOP_MJRLE_KNEE,,13
1023008471,PPI_IOP_MJRLE_KNEE,A3671,18
1023009297,PPI_IOP_MJRLE_HIP,,14
1023009297,PPI_IOP_MJRLE_KNEE,,16
1023010741,PPI_IOP_MJRLE_HIP,,49
1023011368,PPI_IOP_MJRLE_HIP,,11
1023011905,PPI_IOP_MJRLE_HIP,,28
1023011905,PPI_IOP_MJRLE_KNEE,,82
1023012861,PPI_IOP_MJRLE_KNEE,,115
1023012861,PPI_IOP_MJRLE_KNEE,A1552,217
1023013737,PPI_IOP_MJRLE_HIP,,45
1023013737,PPI_IOP_MJRLE_HIP,A1539,14
1023013737,PPI_IOP_MJRLE_KNEE,,18
1023014453,PPI_IOP_MJRLE_HIP,,20
1023014453,PPI_IOP_MJRLE_KNEE,,16
1023019643,PPI_IOP_MJRLE_HIP,A2620,11
1023019643,PPI_IOP_MJRLE_KNEE,,13
1023019643,PPI_IOP_MJRLE_KNEE,A2620,24
1023019643,PPI_IOP_MJRLE_KNEE,A4818,11
1023025236,PPI_IOP_MJRLE_KNEE,,13
1023030830,PPI_IOP_MJRLE_KNEE,,14
1023031036,PPI_IOP_MJRLE_KNEE,,11
1023031119,PPI_IOP_MJRLE_HIP,,14
1023036308,PPI_IOP_MJRLE_HIP,,40
1023036308,PPI_IOP_MJRLE_KNEE,,123
1023036308,PPI_IOP_MJRLE_KNEE,A2057,18
1023036308,PPI_IOP_MJRLE_KNEE,A2530,20
1023037496,PPI_IOP_MJRLE_HIP,,32
1023037496,PPI_IOP_MJRLE_KNEE,,61
1023037496,PPI_IOP_MJRLE_KNEE,A2154,15
1023039021,PPI_IOP_MJRLE_HIP,,17
1023039021,PPI_IOP_MJRLE_HIP,A3073,13
1023039021,PPI_IOP_MJRLE_KNEE,,34
1023039021,PPI_IOP_MJRLE_KNEE,A3073,13
1023041951,PPI_IOP_MJRLE_HIP,,19
1023041951,PPI_IOP_MJRLE_HIP,A1297,31
1023041951,PPI_IOP_MJRLE_HIP,A3458,11
1023041951,PPI_IOP_MJRLE_KNEE,,37
1023041951,PPI_IOP_MJRLE_KNEE,A1297,46
1023044500,PPI_IOP_MJRLE_KNEE,,12
1023044930,PPI_IOP_MJRLE_KNEE,,128
1023050093,PPI_IOP_MJRLE_HIP,,34
1023050093,PPI_IOP_MJRLE_KNEE,,62
1023051604,PPI_IOP_MJRLE_KNEE,A4618,11
1023052610,PPI_IOP_MJRLE_HIP,,34
1023058369,PPI_IOP_MJRLE_HIP,,20
1023058369,PPI_IOP_MJRLE_HIP,A2591,27
1023058369,PPI_IOP_MJRLE_KNEE,,52
1023058369,PPI_IOP_MJRLE_KNEE,A2591,58
