CCN,WI,Year
130066,0.9499,2015
130067,0.9111,2015
140B10,1.0329,2015
140001,0.8340,2015
140002,0.9166,2015
140007,1.0247,2015
140008,1.0329,2015
140010,1.0329,2015
140011,0.8309,2015
140012,1.0084,2015
140013,0.8595,2015
140015,0.9166,2015
140018,1.0329,2015
140019,0.8309,2015
140026,0.8569,2015
140029,1.0217,2015
140030,1.0217,2015
140032,0.9166,2015
140033,*,2015
140034,0.9166,2015
140040,0.9382,2015
140043,0.9382,2015
140046,0.9166,2015
140048,1.0329,2015
140049,1.0329,2015
140051,1.0247,2015
140052,0.9166,2015
140053,0.8960,2015
140054,1.0329,2015
140058,0.9166,2015
140059,0.8309,2015
140062,1.0329,2015
140063,1.0329,2015
140064,0.9382,2015
140065,1.0329,2015
140066,*,2015
140067,0.8841,2015
140068,1.0329,2015
140077,0.9166,2015
140080,1.0329,2015
140082,1.0329,2015
140083,1.0329,2015
140084,1.0329,2015
140088,1.0329,2015
140089,0.8309,2015
140091,0.8960,2015
140093,0.9795,2015
140095,1.0329,2015
140100,1.0329,2015
140101,1.0247,2015
140103,1.0329,2015
140110,1.0247,2015
140113,0.8960,2015
140114,1.0329,2015
140115,1.0329,2015
140116,1.0329,2015
140117,1.0329,2015
140118,1.0329,2015
140119,1.0329,2015
140120,0.8595,2015
140122,1.0247,2015
140124,1.0329,2015
140125,0.9166,2015
140127,0.9085,2015
140130,1.0329,2015
140133,1.0329,2015
140135,0.8614,2015
140137,0.9166,2015
140143,0.8309,2015
140145,0.8309,2015
140147,0.8309,2015
140148,0.8960,2015
140150,1.0329,2015
140151,1.0247,2015
140155,1.0247,2015
140158,1.0329,2015
140160,0.9713,2015
140161,1.0247,2015
140162,0.9085,2015
140164,0.8351,2015
140166,0.8614,2015
140167,0.8743,2015
140172,1.0329,2015
140174,1.0217,2015
140176,1.0329,2015
140177,1.0329,2015
140179,1.0329,2015
140180,1.0329,2015
140181,1.0329,2015
140182,1.0329,2015
140184,0.8351,2015
140185,0.9166,2015
140186,1.0247,2015
140187,0.9166,2015
140189,0.8309,2015
140191,1.0329,2015
140197,1.0329,2015
140200,1.0247,2015
140202,1.0329,2015
140206,1.0329,2015
140208,1.0329,2015
140209,0.8595,2015
140210,0.8309,2015
140211,1.0217,2015
140213,1.0247,2015
140217,1.0217,2015
140223,1.0329,2015
140224,1.0329,2015
140228,0.9713,2015
140231,1.0247,2015
140233,0.9713,2015
140234,0.8569,2015
140239,0.9713,2015
140240,1.0329,2015
140242,1.0247,2015
140250,1.0329,2015
140251,1.0329,2015
140252,1.0329,2015
140258,1.0329,2015
140275,0.9642,2015
140276,1.0329,2015
140280,0.9642,2015
140281,1.0329,2015
140286,1.0179,2015
140288,1.0247,2015
140289,0.9166,2015
140290,1.0329,2015
140291,1.0329,2015
140292,1.0247,2015
140294,0.8309,2015
140300,1.0329,2015
140301,*,2015
140303,*,2015
140304,1.0247,2015
140305,*,2015
140306,*,2015
150001,1.0009,2015
150002,1.0247,2015
150003,0.9510,2015
150004,1.0247,2015
150005,1.0009,2015
150006,0.9337,2015
150007,0.8907,2015
150008,1.0247,2015
150009,0.8531,2015
150010,0.8907,2015
150011,0.9863,2015
150012,0.9025,2015
150015,0.9337,2015
150017,0.9324,2015
150018,0.8914,2015
150021,0.9324,2015
150022,0.8650,2015
150023,0.9863,2015
150024,1.0009,2015
150026,0.8914,2015
150030,0.9863,2015
150033,*,2015
150034,1.0247,2015
150035,0.9441,2015
150037,1.0009,2015
150038,1.0009,2015
150042,0.8704,2015
150044,0.8531,2015
150045,0.8265,2015
150046,0.9134,2015
150047,0.9324,2015
150048,0.9260,2015
150051,0.9863,2015
150056,1.0009,2015
150057,1.0009,2015
150058,0.9025,2015
150059,1.0009,2015
150061,0.8265,2015
150064,0.8265,2015
150065,0.8265,2015
150069,0.9260,2015
150072,0.8373,2015
150074,1.0009,2015
150075,0.9324,2015
150076,0.8801,2015
150082,0.8581,2015
150084,1.0009,2015
150086,0.9260,2015
150088,1.0128,2015
150089,0.9858,2015
150090,1.0247,2015
150091,0.9324,2015
150097,1.0009,2015
150100,0.8581,2015
150101,0.9324,2015
150102,0.9441,2015
150104,1.0009,2015
150109,0.9510,2015
150112,0.9948,2015
150113,1.0128,2015
150115,0.8476,2015
150125,1.0247,2015
150126,1.0247,2015
150128,1.0009,2015
150129,1.0009,2015
