PROVIDER_ID,DEACTIVATION_YEAR,STATE
1447242110,,KY
1699767244,,PA
1922090497,,TX
1770575474,2006,AZ
1013909522,,AL
1376535062,2020,
1053303404,,GA
1245222686,,FL
1275525545,,NH
1255323531,,MI
1700879053,,NV
1629061981,,OR
1528051745,,PA
1952394264,,MO
1730172818,,NC
1013900042,,TN
1700879608,,SC
1861485443,,FL
1033102629,,TN
1619960218,,TX
1679566202,,FL
1629061189,,FL
1881687358,,NY
1245224625,,AR
1194030619,,ME
1972614972,,CA
1083726723,,MD
1093827354,,AL
1497866602,2022,
1245342492,,CA
1043321417,,MD
1477546083,2023,
1609017334,,AZ
1467763540,,MD
1437594892,,TX
1174968283,,CA
1316948714,,NY
1144221334,,NY
1861494890,,GA
1427050327,,IL
1417959826,,MN
1982606539,2020,
1386636272,,WI
1023000858,,SC
1619969243,,MI
1437141967,,FL
1649262551,2022,
1306838818,,AL
1639161979,,CO
1841283066,,PA
1669465662,,TN
1841283959,,ME
1316930506,,CO
1215920756,,IL
1700879236,,IL
1255324612,,CA
1215166202,,CA
1578675013,2022,
1053422717,,MA
1598876013,,MO
1114038221,,CA
1023259652,,MI
1902047392,,MN
1447695838,,VA
1255776902,,GA
1952748568,,HI
1619314879,,TX
1033110333,,MA
1356342547,2021,
1336140433,,NY
1619979515,,WI
1124020938,,NY
1417959164,,CO
1780686303,,TX
1194727891,2020,
1659373231,,NM
1124020169,,MS
1417959198,2006,TX
1295737823,,WI
1972505394,,CA
1730181173,,NJ
1457353807,,OH
1790787141,,CA
1699767772,,AR
1578555215,,CA
1639161300,,VA
1609868249,,OH
1962494468,,OH
1144212630,,MO
1841282258,,AR
1922090265,,OK
1285626531,,OH
1609869940,,FL
1427041755,,GA
1942293063,,TN
1902899198,,NC
1346233558,,SC
1770576662,,PA
1124011911,,NY
1275526915,,OH
1134112899,,VT
1225021777,,CA
1710970264,,CA
1326109042,2023,
1811993322,2023,
1710098793,2021,
1497866131,,NY
1023259819,,CA
1194046375,,DE
1194160432,,IL
1699110635,,OH
1780029645,,LA
1932544939,,PR
1629414149,,OR
1013353218,,CA
1417393083,,MA
1568809937,,FL
1194160044,,GA
1780685123,,AR
1154322246,,NJ
1053312173,,CT
1366444390,,IN
1285636175,,NY
1326040254,,IN
1861494700,,TX
1437151214,,OH
1821099953,2006,TX
1063414639,,NY
1700888211,,MN
1255333779,,SC
1275525370,,NY
1053303024,,AZ
1073505244,,PA
1326040189,2021,
1720070840,2021,
1740272962,2006,TX
1316949761,2021,
1215939871,2006,AK
1730171505,,NJ
1699767442,,IA
1366434144,,FL
1548252075,,FL
1841282480,,OH
1639161987,,GA
1689666497,,MN
1205828068,,NY
1447243753,,PA
1942292461,2006,OH
1215920301,,MA
1912999558,,CA
1376535740,2023,
1902899842,,AL
1528051455,,OH
1801889886,,PA
1609869692,,TX
1013900836,,OH
1275526352,2006,OH
1487647137,,MN
1518950344,2021,
1801889365,,CA
1770576134,,NM
1164415543,,TN
1003809492,,NY
1255325619,,TX
1770695108,,MS
1811476096,,MD
1770694937,,NY
1528170933,,AL
1831200534,,TN
1851532501,,OH
1982049458,,IL
1780020990,,MA
1073959250,,CO
1760828511,,OK
1912343542,,TN
1134566508,,OH
1437596574,,NC
1285914887,,OH
1376823864,,SC
1619258019,,WI
1376824672,,KY
1215218854,,DC
1699056911,,IA
1407137441,,PA
1972884856,,NY
1720369648,,WA
1598046419,,VA
1407137706,,WV
1730460874,,VA
1851672968,,LA
1770864613,,MS
1114454139,2022,
1003346800,,SC
1952831729,,IL
1538699244,,MO
1649376971,,CA
1629174040,,WI
1699778357,2022,
1831192392,,KS
1629071337,,OH
1356344972,,IN
1316940927,,WI
1376726018,,DE
1619151214,,MO
1508247917,,FL
1306159181,,TN
1598078057,,MA
1003893355,,MN
1891009536,,FL
1972904621,,CT
1396147856,,MA
1528460748,,IL
1730582313,,MO
1750734836,,AZ
1588893036,,IN
1871022095,,IL
1215467089,,MD
1891225520,,NC
1053417451,,DC
1023114048,,MN
1275639361,,SC
1588667356,,TX
1437152394,,IN
1881697589,,DE
1134122773,,NY
1396274171,,VA
1750564761,,TX
1861705824,,IA
1578877981,,NC
1700190956,,DC
1356655419,,WV
1164736955,,TX
1841504586,,NY
1700288545,,MD
1619530342,,MD
1952831448,,VA
1427051317,,OH
1649273442,,TX
1245233204,,PA
1639172562,,PA
1619970423,,MI
1437152014,,OH
1255334769,,CA
1447253968,,ID
1568645083,,NY
1518270719,,GA
1225341456,,MI
1609189307,,NY
1548573272,,FL
1124005020,2023,
1235443235,,MA
1508267048,,SC
1578966164,,MA
1982133583,,MI
1154850469,,AZ
1366972432,,OH
1619406717,,TX
1588194005,,AK
1841395670,2022,
1487750410,,CT
1154427839,,MO
1316940075,,OR
1295738714,,MD
1255334686,,MD
1891224549,,OH
1851771794,,NY
1447631940,,AZ
1396058392,,TX
1790098770,,AL
1013221712,,MO
1427362086,,CO
1013319854,,WA
1548326853,,TX
1962897876,,TX
1467558171,,NY
1093718868,,FL
1770586588,,SC
1598768285,,MD
1558741165,,FL
1780866335,,TN
1245413673,,NC
1497938369,,MN
1952585572,,CA
1679757009,,NJ
1801109715,,NJ
1952614778,,IL
1780998393,,VA
1720480296,,DE
1881096345,,MD
1891197117,,MS
1073176780,,FL
1447356753,,CO
1952405037,,GA
1851497457,,CA
1417053968,,VA
1528061462,,NE
1962405464,,CA
1790788321,,IN
1669475141,,WV
1457354821,,MD
1801079462,,IA
1770766438,,AK
1285818583,,GA
1811201213,,IL
1386958189,,FL
1871683615,2023,
1073915518,,FL
1336541648,,CA
1073915617,,TX
1588194419,,IL
1548790264,,ID
1053841726,,VA
1821194168,,TX
1508962960,,MN
1063518793,,VA
1235132945,,MD
1528448131,,TX
1386827905,,FL
1215317805,,UT
1083015762,,NJ
1649671918,,NM
1992018253,,AZ
1730493222,,IA
1780998807,,NJ
1437464013,,FL
1912308503,,FL
1518271295,,VA
1609278514,,OH
1073084240,,GA
1104266501,2023,WA
1659477206,,ND
1720182843,2023,
1982708442,,NY
1184720443,,NY
1518063080,,IN
1497758130,,TX
1649273251,,PA
1104829688,,AL
1417950064,,CA
1215317946,,CA
1023499548,,MD
1508247933,,PA
1639550023,,TX
1629459276,2021,
1790721405,,MI
1942514419,,NC
1093792905,,MN
1417261926,,FL
1629470315,,IL
1992107056,,PA
1538561113,,KY
1588067185,,NY
1548559867,,SD
1013280643,,NH
1689947806,,CA
1073514881,2023,
1174896500,,CA
1871923532,,TX
1649518572,,CA
1154620979,,TX
1841599354,,CO
1346539269,,TX
1164806535,,NY
1689973810,,CA
1518342484,,NY
1710362652,,MA
1568668531,,CA
1114168358,,NC
1780155598,,WI
1164400909,,VA
1184913659,,AZ
1992078174,,CO
1821308347,,AZ
1144847153,,OR
1982903894,,TX
1336194695,,AZ
1427347574,,NC
1346624707,,IL
1972987972,,NC
1790160570,,SD
1932584760,,PA
1104201862,,PA
